# Supplemental A1–C2 Wortschatz (fills B2/C1/C2). Source: github.com/abdullahbutt/deutsch-lernen-goethe-a1-c2
# lemma	level	article	plural
Feuer	a1	das	-
Fieber	a2	das	
Finanzierung	b2	die	
Finger	a2	der	-
Firma	a2	die	Firmen
Fisch	a1	der	-e
Fitness	b1	die	
Flasche	a1	die	-n
Fleisch	a1	das	
Flughafen	a1	der	-̈
Flugzeug	a1	das	-e
Fluss	a1	der	-̈e
Flüchtlinge	b1	die	
Folge	b1	die	-n
Formular	a2	das	-e
Forschung	b1	die	
Fortbildung	b1	die	
Fortschritt	b2	der	-e
Frage	a1	die	-n
Fragmentierung	c2	die	
Fraktion	b2	die	-en
Frau	a1	die	-en
Freiberufler	b1	der	-
Freiheit	b1	die	-en
Freispruch	c1	der	
Freitag	a1	der	-e
Freizeit	a1	die	
Freund	a1	der	-e
Freundin	a1	die	-nen
Freundschaft	a2	die	-en
Friday	a1		
Frist	b1	die	-en
Frost	a2	der	
Frühling	a1	der	
Frühstück	a1	das	-e
Fusionierung	c1	die	
Fuß	a1	der	-̈e
Fußball	a1	der	
Fußgängerzone	a2	die	-n
Fähigkeit	b1	die	-en
Fähre	a2	die	-n
Führung	b1	die	-en
Führungskraft	b1	die	-̈e
Gabel	a1	die	-n
Galerie	a2	die	-n
Garage	a2	die	-n
Garantie	a2	die	-n
Garderobe	a2	die	-n
Gardine	a2	die	-n
Garten	a1	der	-̈
Gast	a1	der	-̈e
Geburtstag	a1	der	-e
Gebäude	a1	das	-
Gebühr	a2	die	-en
Gedächtnis	b2	das	
Gefühl	a2	das	-e
Gegenreformation	c2	die	
Gegenstand der Ausführungen ist ...	c1		
Gehalt	a2	das	-̈er
Geld	a1	das	
Gemeinde	b1	die	-n
Gemeinschaft	a2	die	
Gemüse	a1	das	
Genehmigung	a2	die	-en
Generalisierung	c2	die	
Generation	b2	die	-en
Genesung	b2	die	
Genetik	c1	die	
Genre	b2	das	-s
Gentechnik	c1	die	
Gentrifizierung	c1	die	
Gepäck	a1	das	
Gepäckausgabe	b1	die	
Gerechtigkeit	b1	die	
Gericht	a2	das	-e
Gerichtsbarkeit	c1	die	
German	a1		
Germany	a1		
Gerät	b2	das	-e
Gesamtschule	b1	die	-n
Geschenk	a1	das	-e
Geschichte	a1	die	-n
Geschmack	a2	der	
Geschwister	a1	die	
Geschäft	a1	das	-e
Geschäftsführung	c1	die	
Geschäftsreise	b1	die	-n
Gesellschaft	b1	die	-en
Gesetz	b1	das	-e
Gesetzgebung	b2	die	
Gesicht	a1	das	-er
Gesundheit	b1	die	
Getränk	a1	das	-e
Gewaltenteilung	c1	die	
Gewerbegebiet	b1	das	-e
Gewerkschaft	a2	die	-en
Gewichtsabnahme	b1	die	
Gewinn	b1	der	-e
Gewitter	a2	das	-
Gewohnheit	a2	die	-en
Glas	a1	das	-̈er
Gleichberechtigung	b1	die	
Gleichstellung	b2	die	
Gleis	a1	der	-e
Globalisierung	b2	die	
Glück	a1	das	
Grenze	b1	die	-n
Grippe	a2	die	
Großeltern	a1	die	
Großfamilie	b2	die	-n
Großmutter	a1	die	-̈
Großvater	a1	der	-̈
Grundgesetz	c1	das	
Grundrechte	b2	die	
Grundschule	a2	die	-n
Grundstück	b2	das	-e
Gruß	a1	der	-̈e
Größe	a2	die	-n
Gurke	a2	die	-n
Gymnasium	a2	das	
Haar	a1	das	-e
Hafen	a2	der	-̈
Haftung	c1	die	
Hagel	a2	der	
Halle	a1	die	-n
Hals	a2	der	-̈e
Haltestelle	a1	die	-n
Hand	a1	die	-̈e
Handel	b1	der	
Handelsbeziehung	b2	die	-en
Handtasche	a2	die	-n
Handy	a1	das	-s
Hardware	b2	die	
Hauptbahnhof	a1	der	-̈e
Haus	a1	das	-̈er
Hausaufgabe	a1	die	-n
Hausfrau	a1	die	-en
Haushalt	a1	der	-e
Heft	a2	das	-e
Hegemonie	c2	die	
Heilung	b1	die	
Heimat	a1	die	
Heizung	a2	die	-en
Herausforderung	b1	die	-en
Herbst	a1	der	
Herd	a2	der	-e
Herr	a1	der	-en
Heterogenität	c2	die	
Hilfe	a1	die	
Himmel	a1	der	
Hinflug	b1	der	-̈e
Hitze	a2	die	
Hobby	a1	das	-s
Hochmut kommt vor dem Fall.	c2		
Hochschule	a2	die	-n
Hochwasser	b1	das	
Hochzeit	a1	die	-en
Hoffnung	a2	die	-en
Homeoffice	a2	das	
Homogenität	c2	die	
Hotel	a1	das	-s
Huldigung	c2	die	
Humanismus	c1	der	
Hund	a1	der	-e
Hunger	a1	der	
Husten	a2	der	
Hyperbel	c2	die	-n
Hypothese	b2	die	-n
Hähnchen	a2	das	-
I	a1		
Idee	a1	die	-n
Identität	c1	die	-en
Ideologie	c1	die	-n
Im Folgenden soll ... erörtert werden.	c1		
Im Hinblick auf ...	c1		
Immunologie	c1	die	
Immunsystem	b1	das	
Imperativ	c1	der	-e
Impfstoff	b2	der	-e
Impfung	b1	die	-en
Implikation	c1	die	-en
Implikatur	c2	die	
Import	b2	der	
Impressionismus	c2	der	
In Anbetracht der Tatsache	c1		dass ...
In der Kürze liegt die Würze.	c2		
Industrie	b1	die	
Infektion	b2	die	-en
Inflation	b1	die	
Information	a1	die	-en
Ingenieur	a1	der	-e
Inhalt	b1	der	-e
Inklusion	c1	die	
Innenpolitik	b2	die	
Innovation	b2	die	-en
Insel	a2	die	-n
Instanz	c1	die	-en
Instanzenweg	c1	der	
Inszenierung	b2	die	-en
Integration	b1	die	
Intelligenz	b2	die	
Intensivstation	b2	die	
Interdependenz	c2	die	
Internet	a1	das	
Interpretation	b2	die	-en
Intervenieren	c1	das	
Ironie	c2	die	
Isolationismus	c2	der	
Jacke	a1	die	-n
Jahr	a1	das	-e
Jahreszeit	a1	die	-en
Jahrmarkt	a2	der	-̈e
Januar	a1	der	
January	a1		
Job	a1	der	-s
Journalist	b1	der	-en
Jugend	a2	die	
Jugendherberge	a2	die	-n
Jugendliche	a1	der	-n
Juli	a1	der	
July	a1		
June	a1		
Junge	a1	der	-n
Juni	a1	der	
Jurisdiktion	c1	die	
Kaffee	a1	der	
Kaffeemaschine	a2	die	-n
Kalender	a1	der	-
Kalte Krieg	c2	der	
Kanal	b1	der	-̈e
Kantine	a2	die	-n
Kapitalismus	b2	der	
Karriere	b1	die	-n
Karte	a1	die	-n
Kartoffel	a1	die	-n
Kasse	a1	die	-n
Kassenzettel	a2	der	-
Katastrophe	b1	die	-n
Katze	a1	die	-n
Katze im Sack kaufen	c2	die	
Kaufhaus	a1	das	-̈er
Kausalität	c1	die	
Kaution	b1	die	-en
Keller	a1	der	-
Kellner	a1	der	-
Kernfusion	c1	die	
Kind	a1	das	-er
Kind mit dem Bade ausschütten	c2	das	
Kindererziehung	b2	die	
Kindergarten	a1	der	-̈
Kino	a1	das	-s
Kirche	a1	die	-n
Kirsche	a2	die	-n
Kissen	a2	das	-
Klage	b2	die	-n
Klasse	a1	die	-n
Klassenzimmer	a2	das	-
Klassik	c2	die	
Klassiker	b2	der	-
Klassizismus	c2	der	
Klausur	a2	die	-en
Kleid	a1	das	-er
Kleiderschrank	a2	der	-̈e
Kleidung	a1	die	
Kleingeld	a2	das	
Klima	a2	das	
Klimaanlage	a2	die	-n
Klimaerwärmung	b1	die	
Klimaneutralität	c1	die	
Klimawandel	b1	der	
Knie	a2	das	-
Knoblauch	a2	der	
Koalition	b2	die	-en
Koffer	a1	der	-
Kohle	b1	die	
Kollege	a1	der	-n
Kollegin	a1	die	-nen
Kollokation	b2		
Kommunikation	b2	die	
Kompetenz	b1	die	-en
Komplexität	c2	die	
Komplexität gerecht werden	c2	der	
Konflikt	b1	der	-e
Konjunktur	b2	die	
Konkurs	b2	der	
Konnotation	c2	die	
Konsolidierung	c1	die	
Kontakt	a2	der	-e
Kontemplation	c2	die	
Kontextualisierung	c2	die	
Kontingenz	c2	die	
Konto	a2	das	Konten
Kontroverse	c1	die	-n
Konzert	a2	das	-e
Kopf	a1	der	-̈e
Kopfschmerzen	a2	die	
Korrelation	c1	die	-en
Korruption	b2	die	
Kostenoptimierung	c1	die	
Krankenhaus	a1	das	-̈er
Krankenkasse	a2	die	-n
Krankenschwester	a2	die	-n
Krankheit	a2	die	-en
Krebsforschung	c1	die	
Kredit	b1	der	-e
Kreditkarte	a2	die	-n
Kreide	a2	die	
Kreuzung	a2	die	-en
Krimi	a2	der	-s
Kriminalität	b1	die	
Krimiserie	a2	die	-n
Krippe	b2	die	-n
Kritik	b2	die	-en
Kritik üben	b2		
Kritiker	b2	der	-
Krokodilstränen weinen	c2		
Kräfteverhältnis	c2	das	
Kuchen	a1	der	-
Kugelschreiber	a1	der	-
Kunde	a1	der	-n
Kurs	a1	der	-e
Kybernetik	c1	die	
Käse	a1	der	
Küche	a1	die	-n
Kündigung	b1	die	-en
Künstler	b2	der	-
Künstliche Intelligenz	b2	die	
Küste	a2	die	-n
Labor	b2	das	-e
Ladegerät	a2	das	-e
Laden	a1	der	-̈
Lage	b1	die	
Lampe	a2	die	-n
Land	a1	das	-̈er
Landkarte	a2	die	-n
Landschaft	a2	die	-en
Landung	b1	die	
Laune	a2	die	-n
Lebenserwartung	c1	die	
Lebenslauf	a2	der	-̈e
Lebensmittel	a1	das	-
Lebensphase	b2	die	-n
Leder	a2	das	
Legislative	b2	die	
Legitimation	c2	die	
Legitimität	c1	die	
Lehre	b1	die	
Lehrer	a1	der	-
Lehrerin	a1	die	-nen
Leiden	b1	das	-
Leinwand	a2	die	-̈e
Leistung	b1	die	-en
Leitung	a1	die	-en
Leute	a1	die	
Licht	a1	das	-er
Lied	a1	das	-er
Lineal	a2	das	-e
Linie	a1	die	-n
Liquidität	c1	die	
Liste	a1	die	-n
Literatur	b2	die	
Litotes	c2	die	
Lobby	b2	die	-s
Lohn	a2	der	-̈e
Luft	a1	die	
Luftverschmutzung	b2	die	
Löffel	a1	der	-
Lügen haben kurze Beine.	c2		
Machtausübung	c1	die	
Machtpolitik	c2	die	
Magen	a1	der	-̈
Mahlzeit	a1	die	-en
Mai	a1	der	
Mais	a2	der	
Mandat	c1	das	-e
Manipulation	c2	die	
Mann	a1	der	-̈er
Mannschaft	a2	die	-en
Mantel	a1	der	-̈
March	a1		
Marginalisierung	c2	die	
Markt	a1	der	-̈e
Marktanalyse	c1	die	-n
Marmelade	a2	die	-n
Maschinelle Lernen	c1	das	
Mautgebühr	a2	die	-en
May	a1		
Maßnahmen ergreifen	b2		
Medienkompetenz	b1	die	
Medikament	a2	das	-e
Medizin	a1	die	
Meer	a1	das	-e
Meeresspiegel	c1	der	
Mehrheit	b2	die	-en
Meinungsfreiheit	b1	die	
Meister	a2	der	-
Meisterschaft	a2	die	-en
Meisterwerk	b2	das	-e
Melancholie	c2	die	
Meldung	b1	die	-en
Mensch	a1	der	-en
Menschenrechte	b2	die	
Messer	a1	das	-
Metapher	c2	die	-n
Metaphysik	c1	die	
Methode	b1	die	-n
Methodik	c1	die	
Miete	a1	die	-n
Mieter	a2	der	-
Mieterin	a2	die	-nen
Mietvertrag	b1	der	-̈e
Mietwohnung	b1	die	-en
Milch	a1	die	
Minderheit	b1	die	-en
Minute	a1	die	-n
Missverständnis	a2	das	-se
Mitgliedschaft	a2	die	-en
Mittag	a1	der	-e
Mittagessen	a1	das	-
Mittagspause	a2	die	-n
Mitte	a1	die	
Mitternacht	a1	die	
Mittwoch	a1	der	-e
Mobilität	c1	die	
Moderne	c2	die	
Moment	a1	der	-e
Monat	a1	der	-e
Monday	a1		
Montag	a1	der	-e
Moral	c1	die	
Moralphilosophie	c1	die	
Moratorium	c2	das	
Mord	b2	der	
Morgen	a1	der	-
Morgenstund hat Gold im Mund.	c2		
Motivation	b2	die	
Motorrad	a2	der	-̈er
Mr.	a1		gentleman
Multipolarität	c2	die	
Mund	a1	der	-̈er
Museum	a1	das	Museen
Musik	a1	die	
Mutter	a1	die	-̈
Mutterschutz	b2	der	
Muße	c2	die	
Mädchen	a1	das	-
März	a1	der	
Möbel	a1	die	
Müll	a2	der	
Mülltonne	a2	die	-n
Mülltrennung	b1	die	
Mündigkeit	c2	die	
Nachbar	a1	der	-n
Nachbarschaft	b1	das	
Nachfrage	b1	die	
Nachhaltigkeit	b2	die	
Nachhilfe	b1	die	
Nachmittag	a1	die	-e
Nachricht	a1	die	-en
Nachrichtensprecherin	b1	die	
Nachspeise	a2	die	-n
Nacht	a1	die	-̈e
Nachweis	b2	der	-e
Nadel im Heuhaufen suchen	c2	die	
Name	a1	der	-n
Nanotechnologie	c1	die	
Nase	a1	die	-n
Nato-Bündnis	c2	das	
Natur	a1	die	
Naturalismus	c2	der	
Naturschutzgebiet	b1	das	
Nebenjob	a2	der	-s
Nebenkosten	a2	die	
Nebenwirkung	b1	die	-en
Nettogehalt	b2	das	
Netzwerk	a2	das	-e
Neurowissenschaft	c1	die	
Neutralität	c1	die	
Nichtigkeit	c2	die	
Nihilismus	c1	der	
Norden	a1	der	
Normativität	c2	die	
Notaufnahme	a2	die	-n
Note	a2	die	-n
Notendurchschnitt	b1	der	
Notiz	a1	die	-en
Novellierung	c1	die	
November	a1	der	
Nudel	a2	die	-n
Nummer	a1	die	-n
Nuss	a2	die	-̈e
Objektivität	c1	die	
Obst	a1	das	
October	a1		
Ohr	a1	das	-en
Oktober	a1	der	
Oma	a1	die	-s
Onkel	a1	der	-
Ontologie	c1	die	
Opa	a1	der	-s
Oper	a2	die	-n
Operation	b1	die	-en
Opfer	b2	das	-
Opposition	b2	die	
Orange	a1	die	-n
Organ	b2	das	-e
Organisation	b1	die	-en
Ort	a1	der	-e
Osten	a1	der	
Outsourcing	c1	das	
Ozonschicht	c1	die	
Paar	a1	das	-e
Paket	a1	das	-e
Palliativmedizin	c1	die	
Panne	a2	die	-n
Papier	a1	der	-e
Paradigma	c1	das	-men
Paradigmenverschiebung	c2	die	
Park	a1	der	-s
Parkplatz	a1	der	-̈e
Parkschein	a2	der	-e
Partner	a1	der	-
Party	a1	die	-s
Pass	a1	der	-̈e
Passagier	a2	der	-e
Passwort	a2	das	-̈er
Patchworkfamilie	b2	die	
Pathologie	c1	die	
Pauschalreise	b1	die	-n
Pause	a1	die	-n
Pech	a2	das	
Perfekt	a1	das	
Perlen vor die Säue werfen	c2		
Person	a1	die	-en
Personalausweis	a2	der	-e
Persönlichkeit	b2	die	
Petition	b2	die	-en
Pfeffer	a2	der	
Pflanze	a2	die	-n
Pflaume	a2	die	-n
Pflege	b1	die	
Pflicht	b1	die	-en
Pflichtfach	b1	die	-̈er
Platz	a1	der	-̈e
Plausibilität	c1	die	
Pointe	c2	die	-n
Polemik	c2	die	
Polizei	a1	die	
Pommes	a1	die	
Portemonnaie	a2	das	-s
Portion	a2	die	-en
Post	a1	die	
Postkarte	a1	die	-n
Postmoderne	c2	die	
Pragmatismus	c1	der	
Praktikant	a2	der	-en
Praktikum	a2	das	Praktika
Praxis	a2	die	Praxen
Preis	a1	der	-e
Premiere	b2	die	-n
Presse	b1	die	
Probe	b2	die	-n
Problem	a1	das	-e
Profitabilität	c1	die	
Programm	a1	das	-e
Programmierung	b2	die	
Promotion	b1	die	
Propaganda	b2	die	
Prozess	b2	der	-e
Prädisposition	c2	die	
Prämisse	c1	die	-n
Prävention	b2	die	
Prüfung	a2	die	-en
Psychologie	b2	die	
Qualifikation	b1	die	-en
Qualität	a1	die	-en
Quantencomputer	c1	die	
Quelle	b1	die	-n
Quellenangabe	c1	die	-n
Quittung	a1	die	-en
Rabatt	a2	der	-e
Rad	a1	das	-̈er
Raffinesse	c2	die	
Rathaus	a1	der	-̈er
Ratifizierung	c1	die	
Rationalisierung	c1	die	
Raum	a1	der	-̈e
Realpolitik	c2	die	
Realschule	b1	die	-n
Rechnung	a1	die	-en
Recht	b1	das	-e
Rechtsprechung	c1	die	
Redaktion	b1	die	-en
Reden ist Silber	c2		Schweigen ist Gold.
Referendum	b2	das	-en
Reform	b2	die	-en
Reformation	c2	die	
Regel	b1	die	-n
Regelstudienzeit	b1	die	
Regen	a1	der	
Regenbogen	a2	der	-̈
Regie	b2	die	
Regierung	b2	die	-en
Regime	b2	das	-s
Rehabilitation	c1	die	
Reis	a2	der	
Reise	a1	die	-n
Reiseführer	a2	der	-
Reiseveranstalter	b1	der	-
Relativismus	c1	der	
Renaissance	c2	die	
Renaturierung	c1	die	
Rendite	b2	die	-n
Renovierung	b1	die	-en
Rentner	a2	der	-
Reportage	b1	die	-n
Reservierung	b1	die	-en
Resilienz	c1	die	
Resolution	c1	die	-en
Ressentiment	c2	das	-s
Ressource	b1	die	-n
Restaurant	a1	das	-s
Resultat	c1	das	-e
Retrospektive	c2	die	
Rezept	a2	das	-e
Rezession	b2	die	
Rhetorik	c2	die	
Richter	b2	der	-
Richtung	a1	die	-en
Risikomanagement	c1	das	
Roboter	b2	der	-
Robotik	c1	die	
Rock	a1	der	-̈e
Rohstoff	b1	der	-e
Roman	a2	der	-e
Romantik	c2	die	
Route	b1	die	-n
Ruhe	a1	die	
Ruhestand	b2	der	
Rundreise	b1	die	-n
Rücken	a1	der	-
Rückflug	a2	der	-̈e
Rücksicht nehmen	b2		
Rüstungskontrolle	c2	die	
S-Bahn	a1	die	-en
Sache	a1	die	-n
Sachverhalt	c1	der	-e
Saft	a1	der	-̈e
Sahne	a2	die	
Salat	a1	der	-e
Salz	a1	das	
Samstag	a1	der	-e
Sanktion	b2	die	-en
Sarkasmus	c2	der	
Satire	b2	die	-n
Saturday	a1		
Satz	a1	der	-̈e
Schadstoffbelastung	c1	die	
Schatten	a2	der	
Scheidung	b2	die	-en
Schinken	a2	der	-
