# Goethe/ÖSD A1–B1 Wortliste. Source: github.com/ilkermeliksitki/goethe-institute-wordlist
# lemma	level	article	plural	example_de
(sich) stoßen	b1		stößt, stieß, hat gestoßen(1)	Wie haben Sie sich denn verletzt? – Ich habe mich an der Autotür gestoßen.
(sich) streiten	b1		streitet, stritt, hat gestritten(1)	Die Kinder streiten sich oft.
(sich) treffen	a1			Ich treffe in der Stadt einen Kollegen.
(sich) trennen	b1		trennt, trennte, hat getrennt(1)	Wir leben getrennt.
(sich) umdrehen	b1		dreht um, drehte um, hat umgedreht(1)	Dreh dich mal um. Da hinten liegt das Buch doch.
(sich) unterhalten	b1		unterhält, unterhielt, hat unterhalten(1)	Wir haben uns über das Fußballspiel unterhalten.
(sich) verabreden	b1		verabredet, verabredete, hat verabredet(1)	Wir haben uns mit Freunden verabredet. Wir wollen zusammen essen.
(sich) verabschieden	b1		verabschiedet, verabschiedete, hat verabschiedet(1)	Ich wurde von meinen Freunden sehr nett verabschiedet.
(sich) verbessern	b1		verbessert, verbesserte, hat verbessert(1)	Ich habe mein Deutsch verbessert.
(sich) verbrennen	b1		verbrennt, verbrannte, hat verbrannt(1)	Ich werde alle Briefe verbrennen.
(sich) verletzen	b1		verletzt, verletzte, hat verletzt(1)	Ich habe mich an der Hand verletzt.
(sich) verlieben	b1		verliebt(1)	Ich habe mich verliebt.
(sich) verstecken	b1		versteckt, versteckte, hat versteckt(1)	Ich habe das Geld hinter dem Regal versteckt.
(sich) verstehen	b1		versteht, verstand, hat verstanden(1)	Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter.
(sich) verändern	b1		verändert, veränderte, hat verändert(1)	Das geht so nicht. Wir müssen die Organisation verändern.
(sich) vorbereiten	b1		bereitet vor, bereitete vor, hat vorbereitet(1)	Am Sonntag machen wir ein kleines Fest. Ich muss noch viel dafür vorbereiten.
(sich) vorstellen	a1		stellt vor, stellte vor, hat vorgestellt(1)	Wir wollen uns kennenlernen.
(sich) waschen	a1		wäscht, wusch, hat gewaschen(1)	Wo kann ich mir die Hände waschen?
(sich) weigern	b1		weigert sich, weigerte sich, hat sich geweigert(1)	Ich weigere mich diese Arbeit zu tun.
(sich) wünschen	b1		wünscht, wünschte, hat gewünscht(1)	Ich wünsche Ihnen alles Gute.
(sich) zwingen	b1		zwingt, zwang, hat gezwungen(1)	Bitte zwing mich nicht etwas zu essen. Ich bin wirklich nicht hungrig.
(sich) überzeugen	b1		überzeugt, überzeugte, hat überzeugt(1)	Ihr Vorschlag überzeugt mich gar nicht.
-weise	b1			War der Test schwierig? – Teilweise.
Abbildung	b1	die		Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.
Abenteuer	b1	das		Unser Urlaub war ein tolles Abenteuer.
Abfahrt	a1	die	-en	Vor der Abfahrt rufe ich an.
Abfall	b1	der		Werfen Sie den Bioabfall bitte nicht zum normalen Müll.
Abfalleimer	b1	der		Wirf das bitte in den Abfalleimer!
Abflug	a1	der		Der Abflug ist um 11.20 Uhr.
Abgase	b1			Abgase aus Industrie und Haushalten verschmutzen die Luft.
Abitur	b1	das		Meine Tochter hat gerade Abitur gemacht.
Abschied	b1	der	-e(1)	Der Abschied von meinen Freunden fiel mir schwer.
Abschluss	b1	der		Ein guter Schulabschluss ist sehr wichtig.
Abschnitt	b1	der		Lesen Sie bitte den zweiten Abschnitt.
Absender	a1	der		Da ist ein Brief für dich ohne Absender.
Absenderin	b1	die		Schicken Sie das Paket an die Absenderin zurück.
Absicht	b1	die		Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.
Abteilung	b1	die		Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.
Abwart	b1	der		Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.
Achtung	a1			Achtung! Das dürfen Sie nicht tun.
Achtung (Sg.)	a2			Achtung an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab.
Adresse	a1	die	-en	Können Sie mir seine Adresse sagen?
Ahnung	a2	die	-en	Ich hatte keine Ahnung, dass du heute Geburtstag hast.
Aktion	b1	die		Die Stadt sollte eine Aktion für Familien planen.
Aktivität	b1	die		In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.
Alarm	b1	der		Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.
Alkohol	b1	der		Du musst die Wunde mit Alkohol reinigen.
Alltag	b1	der		Das ist mein Alltag: putzen, waschen, kochen.
Alphabet	b1	das		Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?
Altenheim	b1	das		Die Großeltern unserer Nachbarn sind im Altenheim.
Alter	a1	das		Alter: 26 Jahre.
Alter (Sg.)	a2	das		Alter: 18 Jahre.
Alternative	b1	die		Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.
Altersheim	b1	das		Die Großeltern unserer Nachbarn sind im Altersheim.
Ampel	a2	die	-n	Du kannst fahren, die Ampel ist grün.
Amt	b1	das		Das Arbeitsamt befindet sich neben dem Busbahnhof.
Anbieter	b1	der		Ist das ein privater Telefonanbieter?
Anfang	a1	der	¨-e	Sie wohnt am Anfang der Straße.
Angabe	b1	die		Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.
Angebot	a1	das	-e	Heute sind Sportschuhe im Angebot.
Angehörige	b1	der		Der Arzt darf nur Familienangehörigen Auskunft geben.
Angst	a2	die	¨-e	Hab keine Angst!
Ankunft	a1	die	-¨e	Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.
Anlage	b1	die		Meine Musikanlage ist kaputt.
Anleitung	b1	die		In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.
Anmeldung	a1	die	-en	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.
Annonce	b1	die		Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.
Anrede	a1	die		Schreiben Sie auch eine Anrede und einen Gruß.
Anruf	a1	der	-e	Sie bekommt viele Anrufe auf ihrem Handy.
Anrufbeantworter	a1	der		Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.
Ansage	a1	die	-n	Hören Sie die Ansagen.
Anschluss	a1	der	¨-e	In Mannheim haben Sie Anschluss nach Saarbrücken.
Anspruch	b1	der		Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.
Antwort	a1	die	-en	Er gibt leider keine Antwort.
Anzahl	b1	die	-en(1)	Die Anzahl der Teilnehmer war groß.
Anzeige	a1	die	-n	Ich habe Ihre Anzeige in der Zeitung gelesen.
Anzug	a2	der	¨-e	Mein Mann muss sich einen neuen Anzug kaufen.
Apartment	a1	das	-s	Wir haben ein Apartment gemietet.
Apfel	a1	der	-Ä	Ein Pfund Äpfel bitte.
Apotheke	a2	die	-n	Das Medikament bekommen Sie in der Apotheke.
Apparat	a2	der	-e	Was machen wir mit deinem alten Apparat?
Appetit	a1	der		Guten Appetit!
Arbeit	a1	die	-en	Mein Bruder sucht Arbeit.
Arbeitsplatz	a1	der	-ä, e	An meinem Arbeitsplatz fehlt ein Drucker.
Arm	a1	der	-e	Mein Arm tut weh.
Artikel	a2	der	-	Im Deutschen gibt es drei Artikel: der, die und das.
Arzt	a1	der	-Ä, e	Morgen habe ich einen Termin bei meiner Ärztin.
Aufnahme	b1	die		Bitte seid leise! – Ich starte die Aufnahme.
Auftrag	b1	der		Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.
Aufzug	a1	der	-ü, e	In diesem Haus gibt es keinen Aufzug.
Auge	a1	das	-n	Er hat blaue Augen.
Augenblick	b1	der		Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.
Ausbildung	a2	die	-en	Ich möchte eine Ausbildung zum Krankenpfleger machen.
Ausdruck	b1	der		Diesen Ausdruck habe ich noch nie gehört.
Ausfahrt	b1	die		Hier ist eine Ausfahrt, da dürfen Sie nicht parken.
Ausflug	a1	der	¨-e	Morgen machen wir einen Ausflug nach Heidelberg.
Ausgabe	b1	die		Wie hoch sind Ihre Ausgaben in einem Monat?
Ausgang	a1	der	¨-e	Wo ist der Ausgang?
Aushilfe	b1	die		Wir suchen eine freundliche Aushilfe für unser Geschäft.
Auskunft	a1	die	-ü, e	Können Sie mir eine Auskunft geben?
Ausland	a1	das		Fahren Sie ins Ausland?
Ausland (Sg.)	a2	das		Fahren Sie ins Ausland?
Ausländer	a1	der	-	Sind Sie Ausländerin?
Ausländerin	b1	die		Die Ausländerin ist neu in der Stadt.
Ausnahme	b1	die		Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.
Aussage	a1	die	-n	Ist die Aussage richtig oder falsch?
Aussicht	b1	die		Von diesem Turm hat man eine tolle Aussicht.
Aussprache	b1	die		Ali hat eine gute Aussprache.
Ausstellung	a2	die	-en	Gehen wir morgen zusammen in die Ausstellung?
Auswahl	b1	die		Wir müssen eine Auswahl aus den Büchern treffen.
Ausweis	a1	der	-e	Hier ist mein Ausweis.
Auto	a1	das	-s	Er kommt mit dem Auto.
Autobahn	a1	die	-en	Wo geht‘s hier bitte zur Autobahn?
Automat	a1	der	-en	Die Fahrkarten gibt es nur am Automaten.
Autor	b1	der		Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.
Baby	a1	das	-s	Mein Kind ist noch ein Baby.
Babysitter	a2	der	-	Meine Tochter arbeitet als Babysitter bei einer Familie mit vier Kindern.
Bad	a1	das	¨-er	Wir haben kein großes Bad.
Badewanne	b1	die		Nach einem langen Arbeitstag setzte sie sich in die Badewanne.
Bahn	a1	die	-en	Wir fahren lieber mit der Bahn.
Bahnhof	a1	der	¨-e	Komme ich hier zum Bahnhof?
Bahnsteig	a1	der	-e	Auf welchem Bahnsteig fährt der Zug?
Balkon	a1	der	-e	Die Wohnung hat auch einen kleinen Balkon.
Ball	a2	der	¨-e	Meine Kinder spielen gern Ball.
Ballett	b1	das		Meine Tochter möchte gern Ballett tanzen.
Banane	a1	die	-n	Drei Bananen, bitte!
Bancomat/Bankomat	b1	der		Ich hole noch schnell Geld vom Bankomaten.
Band	a2	die	-s	Was ist deine Lieblingsband? Anton spielt in einer Band.
Bank	a1	die	-en	Die Bank schließt schon um vier Uhr.
Bankleitzahl	b1	die		Bitte geben Sie Ihre Bankleitzahl an.
Bankomat-Karte	b1	die		Sie können auch mit Bankomat-Karte zahlen.
Bar	b1	die		Setzen wir uns doch an die Bar!
Bart	b1	der		John trägt jetzt einen Bart.
Basketball	a2	der	¨-e	Yannick spielt lieber Basketball als Fußball.
Batterie	b1	die		Bringst du bitte Batterien für die Kamera mit?
Bau	b1	der		Ich wohne in einer Neubauwohnung.
Bauch	a1	der	¨-e	Seit gestern tut mir der Bauch weh.
Bauer	b1	der		Wir kaufen unser Gemüse beim Bauern.
Bauernhof	b1	der		Meine Großeltern hatten einen Bauernhof.
Baum	a1	der	-ä, e	Vorsicht, fahr nicht an den Baum!
Baustelle	a2	die	-n	Vor unserem Haus ist eine große Baustelle.
Beamte	a1	der	-n	Fragen Sie die Beamtin am Schalter acht!
Beamtin	b1	die		Meine Frau ist Beamtin bei der Polizei.
Bedarf	b1	der		An diesem Produkt besteht großer Bedarf.
Bedeutung	b1	die		Das Wort Maus hat inzwischen zwei Bedeutungen.
Bedienungsanleitung	b1	die		Die Bedienungsanleitung verstehe ich nicht.
Bedingung	b1	die		Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen.
Beginn	b1	der		Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.
Begründung	b1	die		Die Miete wurde ohne Begründung erhöht.
Behörde	b1	die		Sie erhalten ein Schreiben von der zuständigen Behörde.
Bein	a1	das	-e	Mein rechtes Bein tut weh.
Beispiel	a1	das	-e	Kannst du mir ein Beispiel sagen?
Beitrag	b1	der		Die Krankenkasse hat die Beiträge erhöht.
Bekannte	b1	der		In Hannover wohnen Bekannte von mir.
Beleg	b1	der		Brauchen Sie einen Beleg?
Benzin	b1	das		Das Benzin soll wieder teurer werden.
Beratung	b1	die		Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.
Bereich	b1	der		In welchem Bereich möchten Sie arbeiten?
Berg	a2	der	-e	Die Zugspitze ist der höchste Berg in Deutschland.
Bericht	b1	der		Ich habe gestern einen interessanten Bericht gelesen.
Beruf	a1	der	-e	Was sind Sie von Beruf?
Bescheid	a2	der		Kann Lisa in Heidelberg studieren? - Sie weiß es noch nicht. Sie bekommt erst nächste Woche Bescheid.
Bescheid geben	b1			Kannst du mir bis morgen Bescheid geben?
Bescheid sagen	b1			Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.
Beschäftigung	b1	die		Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe.
Besprechung	b1	die		Tut mir leid, Herr Schmidt ist noch in einer Besprechung.
Besserung	b1	die		Gute Besserung!
Bestätigung	b1	die		Ich brauche eine schriftliche Bestätigung für das Amt.
Besuch	a2	der	-e	Wir bekommen am Wochenende Besuch.
Betrag	b1	der		Bitte überweisen Sie den Betrag auf unser Konto.
Betreuer	b1	der		Die Betreuerin der Kinder ist sehr nett.
Betreuerin	b1	die		Die Betreuerin der Kinder ist sehr nett.
Betreuung	b1	die		Haben Sie eine Betreuung für Ihre Kinder?
Betrieb	b1	der		In diesem Betrieb arbeiten zehn Leute.
Betriebsrat	b1	der		Der Betriebsrat wird Sie über die neuen Arbeitszeiten informieren.
Betriebsrätin	b1	die		Die Betriebsrätin wird Sie über die neuen Arbeitszeiten informieren.
Bett	a1	das	-en	Wir brauchen noch ein Kinderbett.
Bevölkerung	b1	die		11 % der Bevölkerung wurden nicht im Inland geboren.
Bewegung	b1	die		Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.
Beweis	b1	der		Haben Sie dafür Beweise?
Bewerbung	a2	die	-en	Wohin soll ich meine Bewerbung schicken?
Bewohner	b1	der		Ich kenne die anderen Hausbewohner nicht.
Bewohnerin	b1	die		Ich kenne die anderen Hausbewohnerinnen nicht.
Beziehung	b1	die		Wir haben gute Beziehungen zu unseren Nachbarn.
Bibliothek	a2	die	-en	Sie lernt jeden Tag in der Bibliothek.
Bier	a1	das	-e	Noch ein Bier bitte.
Bild	a1	das	-er	Hast du ein Bild von deinem Sohn?
Bildschirm	b1	der		Ich brauche einen größeren Bildschirm für meinen Computer.
Billett	b1	das		Ein Billett können Sie am Schalter kaufen.
Bio-	b1			Ich kaufe nur noch Biogemüse.
Biologie	b1	die		Meine Freundin studiert Biologie.
Birne	a1	die	-n	Ein Kilo Birnen, bitte!
Bitte	a1	die	-n	Ich habe noch eine Bitte.
Blatt	a2	das	¨-er	Haben Sie ein Blatt Papier für mich?
Bleistift	a1	der	-e	Hast du einen Bleistift?
Blick	a1	der		Von diesem Hotel hat man einen guten Blick auf den Rhein.
Blitz	b1	der		Was für ein Gewitter, hast du den Blitz gesehen?
Blume	a1	die	-n	Gefallen dir die Blumen?
Bluse	a2	die	-n	Ich suche eine weiße Bluse.
Blut	b1	das		Der Verletzte hat viel Blut verloren.
Boden	b1	der		Die Bücher lagen alle auf dem Boden.
Bogen	a1	der		Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.
Bohne	a2	die	-n	Hans isst nicht gern Bohnen.
Boot	b1	das		An diesem See kann man Boote mieten.
Botschaft	b1	die		Das Visum habe ich von der Botschaft erhalten.
Braten	b1	der		Der Braten ist sehr saftig.
Breite	b1	die		Welche Maße hat der Tisch? – Länge: 1 m, Breite: 80 cm, Höhe: 1,20 m.
Bremse	b1	die		Du musst unbedingt die Bremsen kontrollieren lassen.
Brief	a1	der	-e	Haben Sie einen Brief für mich?
Briefkasten	b1	der		Ist hier in der Nähe ein Briefkasten?
Briefmarke	a1	die	-n	Kaufst du bitte Briefmarken bei der Post.
Brieftasche	b1	die		Ich habe nur Kleingeld in meiner Brieftasche.
Briefträger	b1	der		War die Briefträgerin schon da?
Briefumschlag	b1	der		Ich hätte gern 50 Briefumschläge und Briefmarken dazu.
Brille	a2	die	-n	Wo ist meine Brille?
Broschüre	b1	die		In der Broschüre finden Sie die neuesten Informationen.
Brot	a1	das	-e(1)	Haben Sie auch Weißbrot?
Bruder	a1	der	-ü	Sein Bruder arbeitet auch hier.
Brust	b1	die		Ich habe Schmerzen in der Brust.
Brötchen	a1	das	-	Möchtest du Brötchen zum Frühstück?
Brötli	b1	das		Ich hole schnell ein paar Brötli zum Frühstück.
Brücke	a2	die	-n	Fahren Sie über die nächste Brücke und dann nach links.
Bub	b1	der		In der Schulklasse sind 15 Buben und 10 Mädchen.
Buch	a1	das	-ü, er(1)	Gute Bücher sind oft sehr teuer.
Buchhandlung	b1	die		In der Buchhandlung in der Stadt haben sie das Buch sicher.
Buchstabe	a1	der	-n	Diesen Buchstaben gibt es in meiner Sprache nicht.
Buffet	b1	das		Das Buffet ist eröffnet!
Burg	b1	die		Von der Burg hat man eine schöne Aussicht.
Bus	a1	der	-se	Wann kommt der nächste Bus?
Butter	a1	die		Für mich bitte ein Brötchen mit Butter und Käse.
Butter (Sg.)	a2	die		Möchtest du Butter aufs Brot oder nur Käse?
Bäckerei	a1	die	-en	Ich geh mal schnell zur Bäckerei.
Büchse	b1	die		Ich habe noch eine Büchse Bohnen.
Bühne	b1	die		Er steht gern auf der Bühne.
Bürger	b1	der		EU-Bürgerinnen und Bürger können überall in Europa arbeiten.
Bürgerin	b1	die		EU-Bürgerinnen und Bürger können überall in Europa arbeiten.
Büro	a2	das	-s	Ich arbeite in einem Büro.
Bürste	b1	die		Hast du eine Bürste? Meine Schuhe sind so schmutzig.
CD	a1	die	-s	Bring bitte deine Lieblings-CD mit.
Cafeteria	a2	die	-s	Ich gehe jetzt in die Cafeteria. Soll ich dir etwas mitbringen?
Café	a1	das	-s	Sollen wir uns im Café treffen?
Chance	b1	die		Mein Mann hat gute Chancen, die Stelle zu bekommen.
Chef	a1	der	-s / die Chefin, -ne	Wir haben eine neue Chefin.
Chefin	b1	die		Das kann ich nicht allein entscheiden, da muss ich erst die Chefin fragen.
Chipkarte	b1	die	-n(1)	Ich habe eine Chipkarte für diesen Automaten.
Club	a2	der	-s / Klub, -s(1)	Gibt es hier einen Tennis-Club/Klub?
Coiffeur	b1	der		Du siehst toll aus! Wer ist dein Coiffeur?
Computer	a1	der	-	Wann bekommst du deinen neuen Computer?
Couch	b1	die		Wir haben uns eine Couch und neue Sessel gekauft.
Cousin	b1	der		Meine Cousine wohnt jetzt in Brasilien.
Cousine	b1	die		Meine Cousine wohnt jetzt in Brasilien.
Couvert	b1	das		Ich hätte gern 50 Couverts und Briefmarken dazu.
Creme	a2	die	-s/-n(1)	Ich suche eine Creme für die Hände.
Dach	b1	das		Wir müssen das Dach reparieren lassen.
Dame	a1	die	-n(1)	Damen (an der Toilette)
Dank	a1	der		Vielen Dank!
Dank (Sg.)	a2	der		Vielen Dank!
Darstellung	b1	die		Ihr Buch enthält eine klare Darstellung dieser Probleme.
Datei	a2	die	-en	Wo hast du die Datei gespeichert?
Daten	b1	die		Wir haben alle Ihre Daten im Computer.
Datum	a1	das	-en	Bitte schreiben Sie noch das Datum auf das Formular.
Dauer	b1	die		Sie können das Buch für die Dauer behalten.
Decke	b1	die		Im Wohnzimmer haben wir keine Lampe an der Decke.
Denkmal	b1	das		In dieser Stadt gibt es viele berühmte Denkmäler.
Dessert	b1	das		Nach dem Essen gab es noch ein leckeres Dessert.
Detail	b1	das		Dieses Detail ist unwichtig.
Dialekt	b1	der		Ich verstehe dich besser, wenn du nicht Dialekt sprichst.
Dialog	b1	der		Sie hören jetzt einen Dialog.
Dieb	b1	der		Ein Dieb hat mir auf dem Markt die Tasche gestohlen.
Dienst	b1	der		Als Krankenschwester habe ich oft Frühdienst.
Ding	a2	das	-e	Gib mir bitte mal das Ding da drüben!
Diplom	b1	das		Wo kann ich mein Diplom abholen?
Direktor	b1	der		Ich möchte gern mit dem Direktor sprechen.
Disco	a1	die	-s / die Disko, -s	Heute Abend gehen wir in die Disco tanzen.
Diskothek	b1	die		Wir gehen heute Abend in die Disko.
Diskussion	b1	die		Im Fernsehen gab es eine Diskussion zum Thema Kinderbetreuung.
Distanz	b1	die		Diese Firma transportiert Waren auch über große Distanzen.
Diät	b1	die		Ich möchte abnehmen. Deshalb mache ich eine Diät.
Doktor	a1	der		Meine Tochter ist krank. Wir gehen zum Doktor.
Dokument	b1	das		Hast du alle Dokumente für die Anmeldung dabei?
Donner	b1	der		Der Donner kam erst lange nach dem Blitz.
Doppel-	b1			Wir hätten gern ein Doppelbett.
Doppelzimmer	a1	das	-	Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?
Dorf	a1	das	-ö, er	Meine Familie lebt in einem Dorf.
Dose	b1	die		Ich habe noch eine Dose Bohnen.
Dreck	b1	der		Iss den Apfel nicht! Der lag im Dreck.
Droge	b1	die		Nimmst du etwa Drogen?
Drogerie	b1	die		Waschmittel bekommst du in der Drogerie.
Druck	b1	der		Mit einem Knopfdruck schaltet man das Gerät ein.
Drucker	a1	der	-	Mein Drucker ist kaputt.
Durchsage	a1	die	-n	Ich habe die Durchsage nicht verstanden.
Durchschnitt	b1	der		Der Durchschnitt der Ausgaben liegt bei 150 Euro im Monat.
Durst	a1	der		Hast du etwas zu trinken? Ich habe großen Durst.
Durst (Sing.)	a2	der		Hast du etwas zu trinken? Ich habe großen Durst.
Dusche	a1	die	-n	Unsere Wohnung hat nur eine Dusche.
E-Book	a2	das	-s	Liest du lieber E-Books oder Bücher aus Papier?
E-Mail	a1	die	-s	Ich habe Ihre E-Mail nicht bekommen.
Eck	b1	das		Das Regal stellen wir hier ins Eck.
Ecke	a1	die	-n	An der nächsten Ecke links.
Ehe	b1	die		Sie hat zwei Kinder aus erster Ehe.
Ehefrau	a1	die	-en/der Ehemann, -ä, er	Das ist mein (Ehe-) Mann/meine (Ehe-) Frau.
Ehemann	b1	der		Wie heißt Ihre Ehefrau mit Vornamen?
Ehepaar	b1	das		Das Ehepaar unter uns hat zwei Kinder.
Ei	a1	das	-er	Möchtest du ein Ei zum Frühstück?
Eile	b1	die		Ich bin sehr in Eile.
Einbahnstraße	b1	die		Die Goethestraße ist jetzt eine Einbahnstraße.
Einbrecher	b1	der		Die Einbrecher haben nichts gestohlen.
Einbrecherin	b1	die		Die Einbrecher haben nichts gestohlen.
Einbruch	b1	der		In der Urlaubszeit gibt es viele Wohnungseinbrüche.
Eindruck	b1	der		Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck?
Einfahrt	b1	die		Da parkt wieder jemand vor unserer Einfahrt.
Einfall	b1	der		Frag einfach meine Freundin. Sie hat immer gute Einfälle.
Einfluss	b1	der		Das Wetter hat Einfluss auf die Gesundheit der Menschen.
Einführung	b1	die		Leider habe ich die Einführung des Kurses verpasst.
Eingang	a1	der	¨-e	Der Eingang ist um die Ecke.
Einkauf	b1	der		Achten Sie beim Einkauf auf Sonderangebote.
Einkaufszentrum	a2	das	-en	Kommst du morgen mit ins Einkaufszentrum?
Einkommen	b1	das		Bei einem höheren Einkommen muss man mehr Steuern zahlen.
Einladung	a1	die		Danke für die Einladung!
Einnahme	b1	die		Unser Geschäft läuft gut. Unsere Einnahmen waren in diesem Monat höher als im letzten.
Einrichtung	b1	die		Deine Wohnung ist sehr gemütlich, die Einrichtung gefällt mir sehr gut.
Einschreiben	b1	das		Ich habe den Brief als Einschreiben geschickt.
Eintritt	a1	der	-e	Der Preis für den Eintritt ist 5 Euro.
Einwohner	b1	der		Berlin hat über drei Millionen Einwohner.
Einwohnerin	b1	die		Berlin hat über drei Millionen Einwohner.
Einzahlung	b1	die		Sie sollten die Einzahlung pünktlich machen.
Einzelheit	b1	die		Du musst mir das in allen Einzelheiten erzählen.
Einzelzimmer	a1	das		Haben Sie noch ein Einzelzimmer?
Eis	b1	das		Im Winter gibt es Eis und Schnee.
Eis (Sg.)	a2	das		Möchtest du auch ein Eis?
Eisenbahn	b1	die		Die Kinder wünschen sich eine elektrische Eisenbahn.
Eltern	b1	die		Ich wohne noch bei meinen Eltern.
Eltern (pl.)	a1	die		Meine Eltern leben in Spanien.
Empfänger	a1	der	–	Auf dem Brief steht dein Name, also bist du der Empfänger.
Ende	a1	das	-n	Sie wohnt am Ende der Straße.
Energie	b1	die		Wir müssen Energie sparen.
Enkel	b1	der		Alle meine Enkel gehen schon zur Schule.
Enkelin	b1	die		Alle meine Enkel gehen schon zur Schule.
Entfernung	b1	die		Aus dieser Entfernung ist das nicht zu erkennen.
Entlassung	b1	die		Seine Entlassung aus der Firma kam überraschend.
Entscheidung	b1	die		Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.
Entschuldigung	a1	die	-en	Entschuldigung! – Bitte.
Enttäuschung	b1	die		Das Endspiel war eine große Enttäuschung.
Entwicklung	b1	die		Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.
Erdapfel	b1	der		Kann ich bitte noch Erdäpfel bekommen?
Erde	b1	die		Die Pflanzen brauchen neue Erde.
Erdgeschoss	a2	das	-e	Ich wohne im Erdgeschoss.
Ereignis	b1	das		Alle Zeitungen haben über diese Ereignisse berichtet.
Erfahrung	a2	die	-en	Ich habe zehn Jahre Erfahrung in diesem Beruf.
Erfindung	b1	die		Die Erfindung des Buchdrucks war sehr wichtig für die Menschen.
Erfolg	b1	der		Der Film war ein großer Erfolg.
